Address,Bedrooms,Bathrooms,Last Update,Tenancy period,Viewed,Rated by,Rating,Subratings,author_name,author_role,comment_body,comment_time,Rent
92 Court Road Grangetown Cardiff,2,1,Sep 30 2016,Jan 2012 - May 2013,115 times,pankaj_raktima,4.9/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£400
"2 Bernard Street
LINCOLN
LN2 5ND
UNITED KINGDOM",4,2,Jul 14 2022,Aug 2021 - Jul 2022,14 times,disturbedsquirtle96,3.4/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",DisturbedSquirtle96,Tenant,"Landlord (Abode) will threaten violence when tenants raise any issue with the property. Thermostat was broken before we moved in which took an entire winter season to fix. As a result of this, mould and damp occurred in every room which was never corrected (one room was changed so that the wardrobe was covering a serious patch of damp/mould prior to a potential new tenant viewing). We were also blamed for the thermostat being broken despite it being an issue since before we moved in. Landlord takes days to respond to messages about the house, then will not take action unless prompted multiple times, when we are met with verbal aggression. Our deposit has not been safely protected in any of the UK tenancy deposit schemes. Landlord will come and go to the house as he pleases, with very little warning, if any.",14-07-2022 02:18 PM,£425
54 Barn Way Wembley,0,0,Feb 21 2016,Apr 2014 - Feb 2016,642 times,Albena,10/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,£0
6 Corban Road Hounslow,3,2,Sep 30 2016,Sep 2013 - Aug 2014,18 times,manugautam,9.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£1500
65 Killigrew Street Falmouth,7,2,Jul 04 2017,Sep 2015 - Jul 2016,486 times,tammy-bug,4.8/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",Tammy-bug,Tenant,"Housemate had severe mold which was delt with very late, also not enough hot water to have a bath.",04-07-2017 04:12 AM,£350
"21 Cinderhill
COLEFORD
GL16 8HJ
UNITED KINGDOM",3,1,Dec 09 2022,Feb 2016 - Jan 2023,8 times,karen-lassauzet,8.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '0', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Karen Lassauzet,Tenant,"Couldn\'t ask for nicer Landlords.  Always on hand if needed.  Dealt with any issues quickly.  Asked our opinion on some matters. Allowed us to make it our own home. Looked after us, and treated us like friends, and not Tenants. Beautiful  cosy cottage, and very quirky. Only handed notice in as relocating 200 miles away, otherwise would still be here.",09-12-2022 05:29 PM,£800
14 Cranbrook Avenue Hull,0,0,Aug 13 2015,Jul 2014 - Jun 2015,566 times,Sprigo11,6.2/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '-2', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
83 Cotelands Croydon,0,0,Apr 01 2015,Jan 2009 - Jul 2010,17 times,Bhaskaroy,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
19 Victoria Street Portsmouth,4,2,Jul 03 2016,Sep 2015 - Jun 2016,823 times,unistudent,4.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£335
Flat 54 Jessel House Page Street London SW1P,0,0,Nov 20 2015,Oct 2015 - Nov 2015,116 times,zcbtff5,4.1/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '1'}",,,,,£0
3 Langham Place Highwoods Colchester,4,2,Nov 17 2016,Aug 2014 - Feb 2016,808 times,mt_gmail,8.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£0
"Peter Leigh Professional
5 Bromley Road
LONDON
SE6 2TS
UNITED KINGDOM",1,1,Nov 20 2023,Jan 2020 - Dec 2023,3 times,m20salah,4.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '0', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",M20salah,Tenant,"Pros - 
-Flat is very big
-Lots of natural light during the day
-Access to the rooftop
-Easy to clean
-All white goods are new, very modern, large and easy to use
-Close to train station with links to central London

Cons - 
- PRICE!!!! The landlord has raised the price over £400pm in the last 2 years and is no longer worth the cost
-You are living above a function room (club for rent) which is used most Fridays and Saturdays and will be open and noisy until 3/4am on these days
-Area is unsafe during times the club is open (shootings & antisocial behaviour)
-There is a bad drainage problem which is almost impossible to fix, the landlord will try to charge you for repairs even though the problem has been lasting for years


Listing : https://www.rightmove.co.uk/properties/86664456#/?channel=RES_LET
(Pictures are not up to date)",20-11-2023 06:38 PM,£1375
"Flat 3
2 Church Rise
LONDON
SE23 2AU
UNITED KINGDOM",2,1,Apr 16 2020,Mar 2018 - Apr 2020,8 times,1991typb,10/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,
"78A Pembroke Road
ILFORD
IG3 8PQ
UNITED KINGDOM",2,1,Nov 28 2018,Mar 2015 - Apr 2018,82 times,lalana,2.8/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '1'}",,,,,£1250
140A Oxley Moor Road Wolverhampton,0,0,Aug 22 2015,Feb 2012 - Jun 2013,24 times,Kayles060690,4.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
52 Wellesley Road Slough,0,0,Mar 14 2015,Jul 2014 - Apr 2015,758 times,subhamoy,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
28 Kensington Park Road London W11,0,0,Sep 21 2015,Sep 2014 - Aug 2015,93 times,pbonnet,2.3/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
42 Roundwood Road London NW10,0,0,Jan 15 2016,Aug 2014 - Jan 2016,26 times,Witchboy,2.7/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '0', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
7 Mount Terrace Wombwell Barnsley,2,1,Mar 13 2017,Apr 2013 - Mar 2017,15 times,mrwilks,5.8/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",Mrwilks,Tenant,The property Is reasonably priced but the time it takes for repairs and the standard of workmanship of said repairs are substandard,13-03-2017 09:11 AM,£325
52 Chippenham Road London W9,0,0,Mar 27 2015,Nov 2014 - Feb 2015,226 times,roigberni,2.2/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': ''}",,,,,£0
"51 Spooner Road
SHEFFIELD
S10 5BL
UNITED KINGDOM",4,2,Feb 21 2022,Mar 2020 - Mar 2021,32 times,ollym97,9.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£395
"42 Hooper Street
LONDON
E1 8BU
UNITED KINGDOM",2,2,Sep 27 2023,Jul 2022 - Jul 2024,3 times,janicelpinto,-3.1/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': ''}",Janicelpinto,Tenant,"This property has so much potential but is heavily overpriced, tainted by poor management at Knight Frank and the world’s stingiest landlords. 
List of issues face during our time here 
- dirty carpets, had to pay out for a deep clean ourselves when we moved in
- dirty walls 
- no heating system and given space heaters to get by which don’t heat up flat
- mice infestation 
- fridge drip tray/ broken fridge 
- 2 weeks to install fridge with no interim solution or compensation for food loss 
- boiler issues",27-09-2023 06:34 PM,£2400
7 The Gardens Harrow,0,0,Oct 23 2015,Oct 2013 - May 2015,35 times,Carli7887,1.5/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
"29 Sunbury Avenue
LONDON
NW7 3SL
UNITED KINGDOM",6,3,Mar 11 2023,Oct 2019 - Feb 2023,3 times,jennifersomers74,1.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",JenniferSomers74,Tenant,"This property was a first rental after the landlord refurbished the property. They moved away and decided to rent the property. We were the unlucky ones to rent it. It has MAJOR problems with leaks. The labour used to refurbish the house was extremely poor and cheap. Everything used in the house was ikea style or bellow. Cheap MDF throughout. There is a MASSIVE MOULD ISSUE throughout the house. It started as a problem in the first six months of our tenancy and NEVER FIXED. To add to the problem the landlord blamed my family for it. It’s a STRUCTURAL PROBLEM, a landlord’s responsibility. The landlord is not easy to deal with and a one sided brain. Leaks, electricity, broken handles, broken tiles, garden in extremely poor condition because of lack of water drainage causing a pond to form during rainy days, mud is also formed. Makes the garden slippery and not suitable for use. Rotting sheds. Extremely poor decoration. Walls dirty and left full of hooks and nails from previous paintings hanging. Private items left by landlord including personal family photos, safe, old sofa, old boxes, old side table and even an old sewing machine that we STORED FOR FREE for them. Broken light bulbs left behind. Illegal installing of a light pendant in the family bathroom causing the bulb to EXPLODE out of nowhere. The carpets are bad quality even difficult to hoover. Cracks on the walls throughout the property. Pieces of plaster fall on us. Curtains of very cheap material barely work. Look worn down and dusty. The floor is extremely difficult to clean. HIGH MAINTENANCE. Very high electricity bills. Paying over £600 a month. Poor appliances. Major LEAK under the kitchen sink causing rotting. The sink is placed on top of the worktop and it’s not sealed. Water leaks every time you wash dishes. Major light bulb problems. Be prepared to change bulbs on a daily basis. Poor plumbing throughout the house. The main/ en suite bedroom is in terrible condition. The water comes through the leak making the bedroom wet. Sleep with an umbrella. The side gates are broken. Access to the back garden is free. Alarm system broken. Taps break all the time. Showers clogged. It’s not a great property. And the landlord is unreasonable. Be wary before making the choice to rent this property.",13-03-2023 04:50 PM,£4100
"Flat 12
Capstone Court
120-124 Capstone Road
BOURNEMOUTH
BH8 8RT
UNITED KINGDOM",2,1,Jan 23 2023,Jun 2018 - Dec 2021,129 times,something123,7.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Something123,Tenant,"The flat is nice and spacious, warm so very rarely had to put on heating. Had a good view of the sunset. 

The bathroom skylight was difficult to clean and would get mouldy.
Neighbours generally are nice but some issues with flats below banging and shouting.
Bins were a problem, as they are on the road everyone used them (including the local corner shop).
By a busy cross road so can get quite noisy at rush hour.",23-01-2023 06:44 PM,
20 Mortimer Road Bournemouth,3,1,Oct 06 2016,Aug 2016 - Oct 2016,248 times,shadowknight,2.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.3', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£1200
"Flat 86
Wenlock Court
New North Road
LONDON
N1 7PL
UNITED KINGDOM",4,2,Apr 09 2023,Jan 2022 - Feb 2023,6 times,rowlyjoel,4.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",RowlyJoel,Tenant,"TLDR: Please stay away

The landlord chose not to renew my contract, and she had told the property manager that this was because I had told her I wanted to move out - this never happened, she never even consulted me. Months later and surprise surprise, her daughter is moving into my old room. If you wanted to make room for your daughter in the flat then you should just be honest about it, rather than fabricating a conversation (to save face I suppose?).

My other issue is with charges from my deposit. I was charged hundreds of pounds from my deposit for a new kitchen worktop, even though the worktop was already damaged when I moved in. The landlord actually assured me, to my face, that I would not be charged for this. Apparently honesty means nothing?
The other charge that is absurd is that the door handle was broken the entire time I lived there, and after reporting it multiple times, was never fixed. The landlord came to fix it once, but basically she put it back on, without fixing the problem. So it slid off again immediately. I reported this again and nothing was done about it. I had to live without a door handle for an entire year, keeping a sock in the door to keep it from shutting so I wouldn\'t get stuck inside. And I got charged for it. It\'s a joke. The people living in the flat are amazing people, good friends of mine. The management is shocking. Please find somewhere else to live for your own sake.",09-04-2023 04:31 PM,£850
77 Stockwell Road London SW9,1,1,Nov 08 2016,Apr 2014 - Nov 2016,1075 times,roopert,4.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '0', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",Roopert,Tenant,"Whenever there was a problem, which was often, the landlord was reluctant to fix, the letting agents didn\'t seem to care, and we often went for long periods with issues in the flat, including leaks, boiler problems, and significant bubbling/flaking to paint on walls.
The flat above had a boiler leak which caused a serious problem to the electricals for the entire building. Electricity to our flat was repaired but there was no power/lights to communal areas (Including stairwells) for about a month.
There was a hole in our external balcony for at least three months without being repaired. When we ended our tenancy there was still a large hole in the floor due to water damage.",08-11-2016 03:22 PM,£1213
Flat 60-109 Boss House 2 Boss Street London SE1,1,1,May 22 2017,Jul 2014 - May 2017,783 times,csul01,0.3/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '-5', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",CSUL01,Tenant,"One of the two lifts is almost always out of order. The building itself is very pretty and well located, but our landlord Nicole Samson and the agents Cluttons are very poor at responding to requests for repairs within a timely basis. It has been nearly two weeks and we are still without heating. There was a leakage problem from the flat upstairs months ago and the bathroom ceiling still has yet to be repainted.",22-05-2017 06:50 AM,£2000
8 Vowles Road West Bromwich,4,1,Oct 25 2017,Sep 2016 - Feb 2017,17 times,alessandroz,5.9/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",AlessandroZ,Tenant,"Overall I recommend this flat. It is a good VfM flat. 
However, the tenancy agency is often reluctant to be helpful with repairs and they have been very demanding to return the room in excellent conditions in order to have my full deposit back.",25-10-2017 04:23 AM,£400
"13 Tudor Court
TIPTON
DY4 8UU
UNITED KINGDOM",1,1,Feb 18 2022,Jul 2020 - Aug 2021,3 times,pearlyking,5.7/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",PearlyKing,Tenant,"Fantastic landlord. Very helpful with the few problems. New front door fitted as the old one got stuck. All electrical safety checks was done on time and prompt. Fantastic communication. The property has a brand new kitchen, bathroom, carpets. And is kept in good order.   I would have stayed in this property if it was not for the tenants that moved in below me. 12 people living in a one bedroom flat. With endless party\'s, shouting, arguments etc,  They still live there till this day unfortunately.

The street is mostly privet let cheap rental flats. Converted houses etc. Most on just a 6 month tenancy and high turn over of tenants unfortunately this brings into the area high crime rates and high levels of drugs and alcohol abuse. This can be checked by yourself on Google 

Summary. Good clean  property, Fantastic landlord, Problem Neighbours, and high crime rate and drug/alcohol use.",18-02-2022 12:01 PM,£480
78 Jepps Avenue Barton Preston,4,1,Nov 28 2017,Aug 2016 - Nov 2017,1091 times,danwantspeace,3.7/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '1'}",DanWantsPeace,Tenant,"Just had enough of the game playing landlord doing the minimum and his dodgey mates who he refers to as \""the contractors\"".

Ignores maintenance for months and leaves me in dispute with the agent.",28-11-2017 07:11 AM,£895
91 Ronver Road London SE12,0,0,Jan 30 2016,Aug 2013 - Sep 2015,895 times,Bella623,1.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '-2', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",,,,,£0
2 Hope Street Haslingden Rossendale,0,0,Aug 08 2015,Aug 2014 - Aug 2015,33 times,Beanjuice04,8.5/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
40 William Street Clayton Le Moors Accrington,2,1,Aug 14 2017,Jan 2017 - Aug 2019,821 times,chrisquinn100hotmail-com,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Chrisquinn100@hotmail.com,Tenant,Landlord is top guy who sorts any problems as soon as he can,14-08-2017 04:55 AM,£0
"27 Station Road
Wickwar
WOTTON-UNDER-EDGE
GL12 8NB
UNITED KINGDOM",2,1,Mar 17 2019,Dec 2014 - Oct 2016,95 times,tracy-hodson-2,9.5/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Tracy Hodson,Tenant,"The landlady of the property was always very helpful if there was ever an issue. At the time we were there the landlady had access at all times to the cellar, which was entered through an outside door and was not for our use.  The storage space would have been very useful and it meant at times our landlady popping in through the garden. This however was very rare. We also found the next door neighbour was quite nocturnal and as light sleepers we found that difficult as he/they would go out during the night several times to smoke and bang his patio doors. This was not every night though. Overall, this was a lovely, cosy place to live and we enjoyed our time there.",17-03-2019 05:50 PM,£750
"51 Highfield Road
Levenshulme
MANCHESTER
M19 3LL
UNITED KINGDOM",3,1,Aug 05 2023,Jul 2017 - Jun 2022,67 times,rorydowse,-0.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£675
1 Brunswick House Queen Street Portsmouth,0,0,Apr 28 2015,Sep 2014 - Aug 2015,565 times,Omári ,7.3/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£0
13 Barn Close Torriano Avenue London NW5,3,1,Jun 12 2017,Feb 2017 - Aug 2017,491 times,mfmata,8.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
Flat 1 39 Hill Street London W1J,2,1,Mar 08 2017,Aug 2016 - Mar 2017,57 times,matt1000,9.7/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,£0
